date,nav_unit,nav_accumulated,nav_adjusted
2022-08-26,1.0001,1.0001,1.0001
2022-09-02,0.9998,0.9998,0.9998
2022-09-09,1.0006,1.0006,1.0006
2022-09-16,0.9728,0.9728,0.9728
2022-09-23,0.9808,0.9808,0.9808
2022-09-30,0.9577,0.9577,0.9577
2022-10-14,0.9743,0.9743,0.9743
2022-10-21,0.9864,0.9864,0.9864
2022-10-28,1.0369,1.0369,1.0369
2022-11-04,1.0487,1.0487,1.0487
2022-11-11,1.0493,1.0493,1.0493
2022-11-18,1.0608,1.0608,1.0608
2022-11-25,1.0823,1.0823,1.0823
2022-12-02,1.0196,1.0196,1.0196
2022-12-09,1.0108,1.0108,1.0108
2022-12-16,0.9975,0.9975,0.9975
2022-12-23,1.0586,1.0586,1.0586
2022-12-30,1.0324,1.0324,1.0324
2023-01-06,1.025,1.025,1.025
2023-01-13,1.0545,1.0545,1.0545
2023-01-20,1.0928,1.0928,1.0928
2023-02-03,1.1164,1.1164,1.1164
2023-02-10,1.0977,1.0977,1.0977
2023-02-17,1.0607,1.0607,1.0607
2023-02-24,1.037,1.037,1.037
2023-03-03,1.0334,1.0334,1.0334
2023-03-10,1.0033,1.0033,1.0033
2023-03-17,0.953,0.953,0.953
2023-03-24,0.9651,0.9651,0.9651
2023-03-31,0.9569,0.9569,0.9569
2023-04-07,0.9929,0.9929,0.9929
2023-04-14,0.9867,0.9867,0.9867
2023-04-21,1.0256,1.0256,1.0256
2023-04-28,1.0765,1.0765,1.0765
2023-05-05,1.0766,1.0766,1.0766
2023-05-12,1.0581,1.0581,1.0581
2023-05-19,1.0604,1.0604,1.0604
2023-05-26,1.0404,1.0404,1.0404
2023-06-02,1.0412,1.0412,1.0412
2023-06-09,1.052,1.052,1.052
2023-06-16,1.1001,1.1001,1.1001
2023-06-21,1.0897,1.0897,1.0897
2023-06-30,1.0835,1.0835,1.0835
2023-07-07,1.0521,1.0521,1.0521
2023-07-14,1.0652,1.0652,1.0652
2023-07-21,1.0384,1.0384,1.0384
2023-07-28,1.0676,1.0676,1.0676
2023-08-04,1.0684,1.0684,1.0684
2023-08-11,1.1036,1.1036,1.1036
2023-08-18,1.152,1.152,1.152
2023-08-25,1.2128,1.2128,1.2128
2023-09-01,1.1822,1.1822,1.1822
2023-09-08,1.1652,1.1652,1.1652
2023-09-15,1.1441,1.1441,1.1441
2023-09-22,1.1755,1.1755,1.1755
2023-09-28,1.1576,1.1576,1.1576
2023-10-13,1.1566,1.1566,1.1566
2023-10-20,1.2015,1.2015,1.2015
2023-10-27,1.1692,1.1692,1.1692
2023-11-03,1.1864,1.1864,1.1864
2023-11-10,1.197,1.197,1.197
2023-11-17,1.1829,1.1829,1.1829
2023-11-24,1.2103,1.2103,1.2103
2023-12-01,1.2099,1.2099,1.2099
2023-12-08,1.2459,1.2459,1.2459
2023-12-15,1.2523,1.2523,1.2523
2023-12-22,1.3058,1.3058,1.3058
2023-12-29,1.3101,1.3101,1.3101
2024-01-05,1.3212,1.3212,1.3212
2024-01-12,1.3526,1.3526,1.3526
2024-01-19,1.3821,1.3821,1.3821
2024-01-26,1.4021,1.4021,1.4021
2024-02-02,1.4759,1.4759,1.4759
2024-02-08,1.6134,1.6134,1.6134
2024-02-23,1.6201,1.6201,1.6201
2024-03-01,1.0963,1.619,1.6172
2024-03-08,1.0996,1.6223,1.6221
2024-03-15,1.0907,1.6134,1.609
2024-03-22,1.1041,1.6268,1.6287
2024-03-29,1.0922,1.6149,1.6112
2024-04-03,1.0845,1.6072,1.5998
2024-04-12,1.0723,1.595,1.5818
2024-04-19,1.07,1.5927,1.5784
2024-04-26,1.0876,1.6103,1.6044
2024-04-30,1.1101,1.6328,1.6376
2024-05-10,1.0795,1.6022,1.5925
2024-05-17,1.086,1.6087,1.602
2024-05-24,1.1173,1.64,1.6482
2024-05-31,1.0966,1.6193,1.6177
2024-06-07,1.0996,1.6223,1.6221
2024-06-14,1.0623,1.585,1.5671
2024-06-21,1.0951,1.6178,1.6155
2024-06-28,1.0956,1.6183,1.6162
2024-07-05,1.0947,1.6174,1.6149
2024-07-12,1.0776,1.6003,1.5897
2024-07-19,1.1033,1.626,1.6276
2024-07-26,1.1448,1.6675,1.6888
2024-08-02,1.1295,1.6522,1.6662
2024-08-09,1.1347,1.6574,1.6739
2024-08-16,1.1241,1.6468,1.6583
